active_time,author,cuisine,directions,ingredients,link,photographer,pub_date,rating,servings,title,total_time
30 minutes,Daniel Gritzer,Pressure Cooker,"Heat oil in pressure cooker over medium-high heat (or, if using electric pressure cooker, using sauté setting), until shimmering. Add about 1/4 of the ground beef, stirring occasionally, until very well browned. Using a slotted spoon, remove browned beef from cooker and set aside. Drain all but 1 tablespoon fat from cooker.,Add onion and cook, stirring and scraping up any browned bits from bottom of cooker, until lightly golden, about 5 minutes (cooking time will depend heavily on your pressure cooker, especially electric ones where you can't control the heat level). Season with salt. Stir in garlic, chili powder, onion powder, garlic powder, cumin, and cayenne pepper, and cook, stirring, until fragrant, about 1 minute. (Add more oil at any time if cooker seems too dry.) Add tomato paste and cook, stirring, until slightly darkened, about 1 minute. ,Return browned beef to cooker along with any accumulated juices. Add uncooked beef, crushed tomatoes, and stir well to combine. Season lightly with salt. Stir in coffee, chocolate, and fish sauce. Add bay leaf. Bring to a simmer, stirring well and scraping bottom all over. Using a wooden spoon or potato masher, break up any chunks of ground beef. Scrape bottom all over once more before sealing the cooker.,Seal cooker, bring to high pressure, and cook for 20 minutes. Quick-release cooker and stir chili well, scraping bottom to make sure nothing is sticking.,Discard bay leaf. Stir in drained beans. Season with salt and plenty of black pepper. Taste chili and add more chili powder, cumin, or cayenne pepper to taste, if desired. Let simmer, stirring occasionally, for 5 minutes. If chili is too thick, stir in some reserved tomato juices (or bean-cooking liquid, if you have it) to thin to desired consistency. If chili is too thin, simmer until thickened to desired consistency.,Serve with the toppings of your choice.","1 tablespoon (15ml) vegetable oil, plus more if needed,2 1/2 pounds (1.1kg) ground beef, at least 15% fat,1 medium (8-ounce; 225g) yellow onion, diced,Kosher salt,3 medium cloves garlic, minced,2 teaspoons chili powder, plus more if desired,1/2 teaspoon onion powder,1/2 teaspoon garlic powder,1/2 teaspoon ground cumin, plus more as needed,1/4 teaspoon cayenne pepper, plus more if desired,1 tablespoon (15ml) tomato paste,One 28-ounce (794g) can whole peeled tomatoes, tomatoes crushed by hand, juices drained and reserved,1/4 cup (60ml) strongly brewed coffee or espresso,1/2 ounce (15g) dark chocolate,1/2 teaspoon (3ml) Asian fish sauce,1 dried bay leaf,4 cups cooked and drained red kidney beans or two 15.5-ounce (439g) cans red kidney beans, drained (see note),Freshly ground black pepper,Sour cream, cilantro leaves, thinly sliced fresh chili or jalapeño, grated cheese, thinly sliced scallions, lime wedges, and more, for serving",https://www.seriouseats.com/recipes/2019/01/pressure-cooker-ground-beef-and-bean-chili.html, Vicky Wasik],"January 30, 2019",4.2,"Makes about 2 1/2 quarts, serving about 5 as a main course",Pressure Cooker Ground Beef and Bean Chili Recipe,1 hour
10 minutes,J. Kenji López-Alt,Stovetop,"Press salmon fillets between paper towels to dry surfaces thoroughly. Season on all sides with salt and pepper. ,In a large stainless, cast iron, or carbon steel skillet, heat oil over medium-high heat until shimmering. Reduce heat to medium-low, then add a salmon fillet, skin side down. Press firmly in place for 10 seconds, using the back of a flexible fish spatula, to prevent the skin from buckling. Add remaining fillets one at a time, pressing each with spatula for 10 seconds, until all fillets are in the pan.,Cook, pressing gently on back of fillets occasionally to ensure good contact with skin, until skin releases easily from pan, about 4 minutes. If skin shows resistance when you attempt to lift a corner with spatula, allow it to continue to cook until it lifts easily. Continue to cook until salmon registers 110°F (43°C) in the very center for rare, 120°F (49°C) for medium-rare, or 130°F (54°C) for medium, 5 to 7 minutes total.,Using spatula and a fork, flip salmon fillets and cook on second side for 15 seconds, then transfer to a paper towel–lined plate to drain. Serve immediately.","4 skin-on salmon fillets, about 6 ounces (170g) each,Kosher salt and freshly ground black pepper,2 tablespoons (30ml) vegetable, canola, or light olive oil",https://www.seriouseats.com/recipes/2017/01/crispy-pan-seared-salmon-fillets-recipe.html, J. Kenji López-Alt. Video,"January 12, 2017",4.5,Serves 4,Crispy Pan-Seared Salmon Fillets Recipe,10 minutes
"45 minutes, including time to make bagel dough (15 minutes with premade bagels)",Stella Parks,Baking," Prepare dough as directed, then divide into 16 equal portions, about 1 1/2 ounces or 43g each. Cup a portion of dough beneath your palm and work in quick, circular motions to form a tight skin around the ball, with only a tiny seam along the bottom. If the seam is large or irregular, continue rounding until the bottom is nearly smooth. Cover with plastic and let rest 15 minutes. Poke a hole into the center of each portion with a damp fingertip, then gently stretch into a 1 1/2–inch ring, wetting your hands in cold water as needed to prevent sticking. Arrange on a well-greased, parchment-lined half sheet pan, cover with plastic, and refrigerate 24 to 36 hours, depending on your schedule., Adjust oven rack to lower-middle position and preheat to 425°F (218°C). Nest a wire baking rack in a half sheet pan, then cover with parchment. Fill a stainless steel pot with about 3 inches of water, stir in malt (if using), and bring to a boil over high heat. Meanwhile, line a baking sheet or cutting board with a thick layer of paper towels. Working with three or four at a time, boil the bagels, about 15 seconds per side. Place on paper towels, then immediately transfer to the prepared half sheet pan. (If left on the paper towels too long, the bagels will stick; if this happens, quickly dip the bagel back into the hot water, and the wet paper towel will peel right off.) Bake until blistered and golden brown all over, about 18 minutes. Cool at least 15 minutes before proceeding to the next step, or store mini bagels up to 36 hours in a paper bag., Adjust oven rack to lower-middle position and preheat to 450°F (232°C). Split mini bagels horizontally with a serrated knife, arrange half on a parchment-lined baking sheet, and toast only until their surface is a little dry, about 5 minutes. Top each with a few tablespoons of red sauce, followed by a sprinkle of salt, pepper, and fennel seed, followed by a generous mound of cheese and a small handful of diced pepperoni. Bake until the cheese is melted and golden brown, about 16 minutes, and serve immediately. Repeat with remaining bagel halves for round two."," dough,1 ounce barley malt syrup (4 teaspoons; 30g), optional,Salt, pepper, and fennel seed to taste,12 ounces finely shredded mozzarella cheese (3 cups; 340g),6 ounces pepperoni, such as , (1 link; 170g)",https://www.seriouseats.com/recipes/2017/02/homemade-bagel-bites-recipe.html, Vicky Wasik],"February  2, 2017",,Makes thirty-two 1 1/2–inch bagel pizzas,Homemade Bagel Bites Recipe,"25 hours, including time to make bagel dough (45 minutes with premade bagels)"
1 hour,J. Kenji López-Alt,Braising and Stewing,"Lay pork belly on cutting board and roll up lengthwise, with skin facing out.,Using butchers twine, tightly secure pork belly at 3/4-inch intervals.,Preheat oven to 275°F. Heat 1 cup water, soy sauce, sake, mirin, sugar, scallions, garlic, ginger, and shallot in a medium saucepan over high heat until boiling. Add pork belly (it won't be submerged). Cover with a lid left slightly ajar. Transfer to oven and cook, turning pork occasionally, until pork is fully tender and a cake tester or thin knife inserted into its center meets little resistance, 3 to 4 hours. Transfer contents to a sealed container and refrigerate until completely cool.,When ready to serve, remove pork belly and strain broth. Reserve broth for another use (like making ,). Slice pork belly into thin rounds (it might help to cut it in half lengthwise first).,Reheat pork belly slices in soup broth with noodles and other garnishes. Alternatively, heat a small amount of reserved broth in a skillet and heat pork slices in broth until hot or reheat with a blowtorch, charring its surface. Serve.","2 pound slab of boneless pork belly, skin-on,1/2 cup soy sauce,1 cup sake,1 cup mirin,1/2 cup sugar,6 scallions, roughly chopped,6 whole garlic cloves,One 2-inch knob ginger, roughly sliced,1 whole shallot, split in half (skin on)",https://www.seriouseats.com/recipes/2012/03/chashu-pork-marinated-braised-pork-belly-for-tonkotsu-ramen-recipe.html, J. Kenji Lopez-Alt],"March  8, 2012",4.0,serves 6 to 8,Chashu Pork (Marinated Braised Pork Belly for Tonkotsu Ramen) Recipe,3 hours (plus time to cool)
15 minutes,J. Kenji López-Alt,Stovetop,"Heat oil in a large nonstick skillet or wok over high heat until shimmering. Add corn kernels, season to taste with salt, toss once or twice, and cook without moving until charred on one side, about 2 minutes. Toss corn, stir, and repeat until charred on second side, about 2 minutes longer. Continue tossing and charring until corn is well charred all over, about 10 minutes total. Transfer to a large bowl.,Add mayonnaise, cheese, scallions, cilantro, jalapeño, garlic, lime juice, and chili powder and toss to combine. Taste and adjust seasoning with salt and more chili powder to taste. Serve immediately.","2 tablespoons (30ml) vegetable oil,4 ears fresh corn, shucked, , (about 3 cups fresh corn kernels),Kosher salt,2 tablespoons (30ml) mayonnaise,2 ounces (60g) feta or Cotija cheese, finely crumbled,1/2 cup finely sliced scallions, green parts only,1/2 cup (1/2 ounce) fresh cilantro leaves, finely chopped,1 jalapeño pepper, seeded and stemmed, finely chopped,1 to 2 medium cloves garlic, pressed or minced on a Microplane grater (about 1 to 2 teaspoons),1 tablespoon (15ml) fresh juice from 1 lime,Chili powder or hot chili flakes, to taste",https://www.seriouseats.com/recipes/2012/07/esquites-mexican-street-corn-salad-recipe.html, Vicky Wasik],"July 12, 2012",4.8666666666667,Serves 4,Mexican Street Corn Salad ( Esquites ) Recipe,15 minutes
30 minutes,J. Kenji López-Alt,Sous Vide,"Combine pork, onion, garlic, cinnamon stick, and bay leaves in a large bowl. Split orange into quarters and squeeze juice into bowl before adding rest of orange. Season generously with kosher salt and toss to combine.,Transfer contents to a vacuum bag and seal.,When ready to cook, set sous vide cooker to desired temperature according to chart above.,Add bag to sous vide bath and cook for recommended time according to chart above. Make sure to top water up occasionally as it evaporates, and keep bag completely submerged. If bag floats, weigh it down by placing a wet kitchen towel on top of it. Alternatively, , to attach a metal spoon or knife to bottom of bag as a weight.,When meat is cooked, remove from water bath and transfer contents of bag to a large bowl. Pick out chunks of meat with a set of tongs and transfer them to a rimmed baking sheet. (Discard aromatics and excess liquid, or reserve liquid and blend it in with your salsa.) When it is cool enough to handle, shred meat roughly using 2 forks or your fingers. Spread evenly over baking sheet. Pork can be prepared up to this point and refrigerated in a sealed container for up to 5 days before serving.,When ready to serve, adjust an oven rack to 3 inches below the broiler element and preheat broiler to high. Place pork under broiler and cook, using a spoon to flip pieces occasionally, until meat is browned and crisp on most sides, about 10 minutes total. Alternatively, working in batches, heat carnitas in a cast iron or nonstick skillet over medium heat, turning occasionally, until crisp, about 10 minutes.,Serve carnitas with warm tortillas, lime wedges, chopped onion and cilantro, and salsa.","4 pounds (1.8kg) boneless pork shoulder, cut into 2-inch-thick slabs,1 medium onion, roughly chopped,6 medium cloves garlic,1 stick cinnamon, broken into 3 to 4 pieces,2 bay leaves,1 medium orange, peel intact,Kosher salt,Warm corn tortillas,Lime wedges,Chopped white onion and fresh cilantro leaves, or other salsa",https://www.seriouseats.com/recipes/2017/01/sous-vide-carnitas-crispy-mexican-style-pulled-pork-recipe.html, J. Kenji López-Alt],"January 10, 2017",4.5882352941176,Serves 8 to 12,Sous Vide Carnitas for Tacos (Crispy Mexican-Style Pulled Pork) Recipe,8 1/2 to 36 1/2 hours
1 hour,Morgan Eisenberg,Slow Cooker,"In the bowl of a food processor, combine lemongrass, shallot, garlic, jalapeño, ginger, and fish sauce. Process until the mixture forms a paste.,Heat oil in a large skillet over medium heat. Add half of the aromatic paste, reserving the rest for the meatballs. Cook, stirring, until fragrant, about 2 minutes. Stir in Thai chili sauce, brown sugar, soy sauce, and rice vinegar and cook for 1 minute.,Stir in water and bring to a boil, stirring constantly. Reduce to a simmer and cook, stirring occasionally, until reduced by half. Transfer the mixture to a  slow cooker, cover, and set to low for at least 5 and up to 8 hours.,Preheat broiler and set oven rack in upper position. Line a rimmed baking sheet with aluminum foil. In a large bowl, combine reserved aromatic paste with ground chicken, panko, egg, and half of the sliced scallion. Season with salt and pepper. Using wet hands to prevent sticking, roll the ground chicken into golf ball–sized balls. If the mixture is too wet to form meatballs, add 1 tablespoon (15ml) of additional panko at a time until it is easier to shape. ,Broil meatballs until browned on top, about 7 minutes. (Browning times can vary dramatically depending on oven broiler strength.) Transfer meatballs to a plate, cover with plastic wrap, and refrigerate until ready to use; pour any juices from baking sheet into sauce in slow cooker.,Add meatballs to slow cooker for last 30 minutes of cooking, stirring to coat.,In a small bowl, combine remaining scallion, cilantro, chopped peanuts, and lime juice.,Once the cooking time is up, switch the slow cooker to the “warm” setting. Right before serving, sprinkle approximately 3/4 of the peanut mixture over the meatballs and stir. Top with the remaining peanut mixture and serve.","4 stalks lemongrass, roughly chopped,3 medium shallots, roughly chopped,6 medium cloves garlic,3 medium jalapeños, seeded and minced,1 (3-inch) knob fresh ginger, peeled and cut into 1/2-inch (1.25-cm) pieces,3 tablespoons (45ml) Asian fish sauce,2 teaspoons (10ml) vegetable oil,1 cup (240ml) Thai chili sauce (see note),2/3 cup light brown sugar (160ml; 130g),2/3 cup (160ml) soy sauce,1/2 cup (120ml) rice vinegar ,1 cup (240ml) water,2 pounds (1kg) ground chicken ,1 cup (240ml) panko bread crumbs, plus more if necessary,1 large egg,1/2 cup (120ml) thinly sliced scallion, white and light green parts only, divided,Kosher salt and freshly ground black pepper,1/4 cup (60ml) chopped cilantro leaves and tender stems,1/2 cup (120ml) chopped unsalted peanuts,2 tablespoons (30ml) fresh juice from 1 lime",https://www.seriouseats.com/recipes/2016/01/slow-cooker-thai-chicken-meatball-recipe.html, Morgan Eisenberg],"January 20, 2016",3.25,Serves 4 to 6,Slow-Cooker Sticky Thai Meatballs Recipe,9 hours
5 minutes,J. Kenji López-Alt,Stovetop,"If serving eggs cold, add 1 tray of ice cubes to a large bowl and fill with water. ,Add 1 inch of water to a large pot. Place steamer insert inside, cover, and bring to a boil over high heat. Add eggs to steamer basket, cover, and continue cooking, 6 minutes for soft-boiled eggs or 12 minutes for hard-boiled.,Serve immediately if serving hot. If serving cold, immediately place eggs in bowl of ice water and allow to cool for at least 15 minutes before peeling.,To peel, first gently tap hard-boiled eggs all over to thoroughly crack the shell, then remove shell under a thin stream of running water. (The water helps get under the shell and lift it off the egg.)","1 tray of ice cubes (optional; for serving cold),6 eggs",https://www.seriouseats.com/recipes/2014/04/steamed-hard-boiled-eggs-recipe.html, J. Kenji López-Alt],"April  1, 2014",4.75,Makes 6 eggs,Perfect Steamed Boiled Eggs Recipe,20 minutes
45 minutes,Daniel Gritzer,Stovetop,"Season beef with salt and pepper. In a large pot or Dutch oven, heat oil over high heat until lightly smoking. Working in batches if necessary, add beef and cook, turning occasionally, until well browned on all sides, about 5 minutes per side. Transfer to a large platter.,Add carrot, onion, celery, and garlic to pot and cook, stirring and scraping up any browned bits from the bottom, until lightly browned, about 6 minutes. Scrape vegetables into a heatproof bowl and set aside. Add stock to pot, return to heat, and scrape up any browned bits from bottom of pot.,Meanwhile, cut beef into chunks and add to pot, along with reserved bones, if using, and herb sachet. Bring to a simmer, then reduce heat to maintain a low simmer and cook until beef is tender, 1 to 2 hours; skim any foam that rises to the top.,Discard bones and herb sachet. Add barley, reserved vegetables, and fish sauce, if using, and simmer until barley and vegetables are tender, about 30 minutes. Season with salt and pepper. If soup is too dry, top up with water to achieve desired consistency. Serve, garnishing with parsley.","2 pounds (1kg) boneless beef chuck roast, cut into 1 1/2–inch steaks, or 3 pounds (1.3kg) bone-in beef short ribs, ribs removed and reserved (see note),Kosher salt and freshly ground black pepper,1 tablespoon (15ml) canola oil,3 large carrots (10 ounces; 280g), diced,1 large yellow onion (12 ounces; 340g), diced,2 ribs celery (6 ounces; 170g), diced,4 medium cloves garlic, roughly chopped,3 quarts (3L) , or store-bought chicken stock (see note),Sachet of 2 sprigs fresh thyme, 1 bay leaf, and about 5 whole black peppercorns,1 cup pearled barley (7 ounces; 200g),1/2 teaspoon (3ml) Asian fish sauce (optional),Minced fresh parsley, for garnish",https://www.seriouseats.com/recipes/2016/10/beef-barley-soup-recipe.html, Vicky Wasik. Video editing,"October 11, 2016",4.8333333333333,Makes about 3 quarts (3L),Rich and Hearty Beef Barley Soup Recipe,2 to 3 1/2 hours
15 minutes,Daniel Gritzer,Stovetop,"Combine chicken, water, onions, celery, garlic, and parsley in a large stockpot and bring to a simmer over low heat. Lower heat, maintaining a very gentle simmer, and cook for 1 hour 30 minutes. Strain stock through a fine-mesh strainer, let cool, then transfer to containers and refrigerate until completely chilled, about 6 hours. Skim off and remove any fat and scum on the surface. Refrigerate for up to 5 days or freeze for up to 6 months. If stock is thin even after being fully refrigerated, add optional gelatin solution to stock and bring to a boil until fully dissolved, then refrigerate or freeze.","4 to 8 pounds (1.8 to 3.6kg) chicken parts, such as wings, bones, breasts, and legs (see note),4 quarts (3.8L) water,2 large yellow onions, diced,4 large carrots, diced,4 large celery ribs, diced,8 crushed medium cloves garlic,2 large sprigs parsley (see note),2 packets unflavored gelatin, dissolved in 1/2 cup (120ml) cold water (optional; see note)",https://www.seriouseats.com/recipes/2014/10/best-rich-easy-white-chicken-stock-recipe.html, Vicky Wasik],"October  1, 2014",5.0,Makes about 3 quarts (2.8L),Basic Chicken Stock Recipe,"1 hour 45 minutes, excluding chilling time"
8 minutes,J. Kenji López-Alt,Stovetop,"Place macaroni in a medium saucepan or skillet and add just enough cold water to cover. Add a pinch of salt and bring to a boil over high heat, stirring frequently. Continue to cook, stirring, until water has been almost completely absorbed and macaroni is just shy of al dente, about 6 minutes.,Immediately add evaporated milk and bring to a boil. Add cheese. Reduce heat to low and cook, stirring continuously, until cheese is melted and liquid has reduced to a creamy sauce, about 2 minutes longer. Season to taste with more salt and serve immediately.","6 ounces (170g) elbow macaroni,Salt,6 ounces (180ml) evaporated milk,6 ounces (170g) grated mild or medium cheddar cheese, or any good melting cheese, such as Fontina, Gruyère, or Jack",https://www.seriouseats.com/recipes/2017/01/3-ingredient-stovetop-mac-and-cheese-recipe.html, J. Kenji López-Alt],"January  9, 2017",4.3461538461538,Serves 2,3-Ingredient Stovetop Macaroni and Cheese Recipe,8 minutes
1 hour,Sasha Marx,Stovetop,"Place shrimp and scallops in separate medium microwave-safe bowls and cover with at least 2 inches of boiling water. Set aside to soak for a minimum of 1 hour or up to 2 hours. (Alternatively, you can soak the shrimp and scallops in cold water overnight in the refrigerator.),Drain shrimp completely. Drain scallops, leaving 2 tablespoons (30ml) soaking water along with the scallops in the bowl. Cover bowl with a microwave-safe plate and microwave on high heat until scallops are tender and easily break apart when pinched between your fingers, about 3 minutes.,Drain scallops of remaining liquid and transfer them to the bowl of a food processor. Pulse scallops 7 times, until just broken into thin strands, then transfer back to their original bowl. Add shrimp to food processor and pulse 10 times, until coarsely chopped. Transfer shrimp back to their original bowl. Finally, combine garlic, shallots, ginger, and Thai chilies in food processor bowl and pulse 12 to 15 times, until finely chopped but not puréed. Set mixture aside.,In a large Dutch oven, heat vegetable oil over medium-high heat until shimmering. Add ham and cook, stirring frequently with a heat-resistant spatula or wooden spoon, until ham is crisp, 3 to 5 minutes.,Add scallops to pot and continue to cook, stirring frequently to separate strands, until scallops are lightly golden, 3 to 5 minutes. Add shrimp and continue to cook, stirring frequently, until seafood is a deep golden color, 7 to 10 minutes. The oil in the pot will be very bubbly during this stage, making it difficult to see what is going on in the bottom of the pot, so you will need to occasionally use your spatula or a slotted spoon to pick a spoonful of the mixture up out of the oil to check its color.,Add vegetable mixture to pot and continue to cook, stirring frequently, until vegetables are golden brown and , begins to form at the bottom of the pot, 8 to 10 minutes. Add ground dried chilies and cook until aromatic, about 30 seconds. Deglaze with Shaoxing wine, scraping up any brown bits stuck to the pot.,Stir in chicken broth, oyster sauce, soy sauce, brown sugar, and star anise and continue to cook at a rapid simmer until mixture is thickened and most of the liquid has been absorbed into the sauce, leaving a thin layer of bubbling oil on the surface of the pot, 12 to 15 minutes. Remove from heat. Once XO sauce has cooled, divide into jars and store in the refrigerator for up to 1 month. Bring to room temperature before using.","5 ounces (140g) dried shrimp,5 ounces (140g) dried scallops,10 garlic cloves,3 large shallots (about 5 ounces; 140g), quartered,One 3-inch piece (2 ounces; 56g) fresh ginger, peeled and roughly chopped,2 to 4 fresh Thai red chili peppers, roughly chopped (see note),2 cups (475ml) vegetable oil,3 ounces (85g) Jinhua ham, minced (see note),3 to 5 dried Thai chilies, finely ground (1 to 2 teaspoons); optional (see note),1/2 cup (120ml) Shaoxing wine (see note),1 1/2 cups (355ml) chicken broth,1/4 cup (60ml) oyster sauce,2 tablespoons (30ml) soy sauce,2 tablespoons (24g) brown sugar,2 pieces whole star anise",https://www.seriouseats.com/recipes/2019/04/xo-sauce.html, Vicky Wasik. Video,"April 15, 2019",4.5,Makes 4 cups,XO Sauce Recipe,3 hours
20 minutes,J. Kenji López-Alt,Pressure Cooker,"Heat oil in a pressure cooker over high heat until smoking. Add halved onions and ginger, cut side down. Cook without moving, reducing heat if smoking excessively, until onion and ginger are well charred, about 5 minutes.,Add cilantro, star anise, cinnamon, cloves, fennel seed, coriander, and chicken to the pot. Add 2 quarts of water, the fish sauce, and the sugar to the pot. Seal the pressure cooker and bring it to high pressure over high heat. Cook on high pressure for 20 minutes, then shock under cold running water in the sink (or release pressure valve if using an electric pressure cooker).,Open pressure cooker. Transfer chicken legs to a plate. Pour broth through a fine mesh strainer into a clean pot and discard solids. Skim any scum off the surface of the broth using a ladle, but leave the small bubbles of fat intact. Season broth to taste with more fish sauce and sugar if desired.,To serve, place re-hydrated pho noodles in individual noodle bowls. Top with chicken legs, sliced onions, and scallions. Pour hot broth over chicken and noodles. Serve immediately, allowing guests to add herbs, bean sprouts, chilis, lime, and sauces as they wish.","2 tablespoons canola or vegetable oil,2 medium yellow onions, split in half,1 small hand of ginger, roughly sliced,1 small bunch cilantro,3 star anise pods,1 cinnamon stick,4 cloves,1 teaspoon fennel seeds,1 teaspoon coriander seeds,6 to 8 chicken drumsticks,1/4 cup fish sauce, plus more to taste,2 tablespoons rock sugar or raw sugar, plus more to taste,4 servings pho noodles, prepared according to package directions,1 small white or yellow onion, thinly sliced,1/2 cup thinly sliced scallions,2 cups mixed herbs (cilantro, basil, and mint),2 cups trimmed bean sprouts,Thinly sliced Thai chilis,2 limes, each cut into 4 wedges,Hoisin sauce and Sriracha",https://www.seriouseats.com/recipes/2015/01/30-minute-pressure-cooker-pho-ga-recipe.html, J. Kenji Lopez-Alt],"January  8, 2015",4.6,Serves 4 to 6,30-Minute Pressure Cooker Pho  Ga  (Vietnamese Chicken Noodle Soup) Recipe,30 minutes
30 minutes,J. Kenji López-Alt,Roasting," Combine garlic, cumin, pepper, oregano, orange juice, lime juice, and olive oil in a large bowl and whisk. Season to taste generously with salt. Transfer half of mojo to a sealed container and reserve in the refrigerator. Add pork to remaining mojo and turn to coat. If desired, transfer pork and marinade to a gallon-sized zipper-lock bag and refrigerate 2 hours or up to overnight before continuing., Adjust oven rack to lower-middle position and preheat oven to 275°F. Line a rimmed baking sheet with a double layer of heavy-duty aluminum foil. Place pork and juices on top and fold up foil, crimping to seal loosely but making sure that there is room for air to circulate inside. Place in oven and roast for 3 hours. Fold back foil, increase oven temperature to 325°F, and continue roasting, basting pork with pan juices occasionally, until pork shows almost no resistance when a metal skewer or knife is inserted into it and the surface is crackly and brown, 2 to 3 hours longer. Remove pork from oven and let rest for 10 to 15 minutes.,Pour accumulated pork juices into a bowl and discard all except 1 cup. Add reserved mojo to pork drippings, along with fresh chopped mint and oregano. Whisk together and season to taste with salt.,Serve pork by slicing or shredding, passing mint mojo and lime wedges on the side. Serve rice and plantains on the side. Reserve any leftovers for sandwiches.","8 medium cloves garlic, minced,2 teaspoons (8g) ground cumin ,2 teaspoons (8g) freshly ground black pepper,1/4 cup (about 1 small handful) minced fresh oregano leaves,1/2 cup (120ml) fresh juice from 1 to 2 oranges (see note),1/4 cup (60ml) fresh juice from 3 to 4 limes (see note),1/4 cup (60ml) extra-virgin olive oil,Kosher salt,1 (6- to 8-pound; 3 to 3.5kg) boneless pork shoulder roast, rind removed,1/4 cup (about 1 small handful) finely chopped fresh mint leaves,3 tablespoons (about 3 very large pinches) finely chopped fresh oregano leaves,Lime wedges, for serving,Steamed rice, ,, and ,, for serving",https://www.seriouseats.com/recipes/2016/06/cuban-roast-pork-shoulder-mojo-recipe.html, J. Kenji López-Alt],"June 29, 2016",5.0,Serves 6 to 10,Cuban-Style Roast Pork Shoulder With Mojo Recipe,"6 to 7 hours, or up to overnight with optional refrigeration"
45 minutes,Daniel Gritzer,Stovetop,"In a small heatproof bowl or measuring cup, combine dried porcini mushrooms with white wine and microwave until wine is steaming-hot. Alternatively, heat wine and mushrooms in a small saucepan until steaming. Set aside and let soak until porcini are fully softened, 10 minutes. Using your hands, lift porcini from wine and squeeze well to remove any excess liquid; reserve porcini-infused wine. Chop soaked porcini coarsely.,Meanwhile, in a Dutch oven or large sauté pan, cook bacon over medium-high heat, stirring often, until browned, about 5 minutes. Using a slotted spoon, transfer bacon to a plate.,Add fresh mushrooms and chopped porcini to pot with rendered bacon fat and return to medium-high heat. Cook, stirring often, until mushrooms are browned, about 8 minutes. Add a splash of olive oil at any point if pot becomes too dry.,Add onion, garlic, and thyme and cook, stirring, until onion and garlic are softened and lightly golden, about 6 minutes; again, add olive oil as needed if pot becomes too dry. Season with salt and pepper.,Add bacon back to pot, then add crushed or puréed tomatoes. Pour in porcini-infused wine through a fine-mesh strainer to remove any sediment. Bring to a simmer, then lower heat to maintain a bare simmer. Season with salt.,Meanwhile, bring a pot of salted water to a boil. Add pasta and cook until just shy of al dente. Drain pasta, reserving about 2 cups of pasta-cooking water.,Add cream to pasta sauce along with drained pasta. Bring to a simmer, adding reserved pasta-cooking water as needed to thin sauce, until pasta is al dente and sauce forms a creamy sheen that coats pasta. If sauce ever becomes too thick, add more pasta water to thin it out. Remove pasta and sauce from heat and stir in parsley and cheese. Serve, passing more cheese at the table.","1 ounce (30g) dried porcini mushrooms ,3/4 cup (180ml) dry white wine,6 slices thick-cut smoked bacon (about 6 ounces; 170g), cut into thin strips,1 pound (450g) mixed fresh cultivated and wild mushrooms, such as cremini, shiitake, maitake, hedgehog, or oyster, woody ends trimmed, thinly sliced,Extra-virgin olive oil, as needed,1 medium onion (about 7 ounces; 200g), sliced,3 medium cloves garlic, minced,1 teaspoon minced fresh thyme leaves (from about 8 sprigs),Kosher salt and freshly ground black pepper,1 (28-ounce; 795g) can peeled whole tomatoes and their juices, crushed by hand or coarsely puréed with an ,1 pound (450g) dried tubular pasta, such as penne or rigatoni,3/4 cup (180ml) heavy cream,1/4 cup minced fresh parsley leaves and tender stems (about 1/2 medium bunch),1 ounce (30g) freshly grated Parmigiano-Reggiano cheese, plus more for serving",https://www.seriouseats.com/recipes/2017/02/penne-boscaiola-mushroom-bacon-pasta-cream-sauce-recipe.html, Vicky Wasik],"February 20, 2017",4.8333333333333,Serves 4,Penne Boscaiola (Woodsman-Style Pasta With Mushrooms and Bacon) Recipe,45 minutes
